truth,estimate,class_prob
no,no,0.0038682003505527973
yes,yes,0.8063100576400757
yes,no,0.2032366245985031
no,no,0.1169334352016449
yes,yes,0.6300638914108276
yes,yes,0.6775529980659485
no,no,0.4830229878425598
yes,yes,0.5286287069320679
no,no,0.12106980383396149
yes,yes,0.7396073341369629
no,no,0.17941440641880035
no,no,0.4222618639469147
no,no,0.06470251083374023
yes,yes,0.5354325175285339
no,no,0.002457347931340337
no,no,0.03966622054576874
no,no,0.3651372194290161
no,no,0.17879672348499298
no,no,0.4007907211780548
no,no,0.08331746608018875
no,no,0.13801546394824982
no,no,0.13427744805812836
yes,yes,0.7115083336830139
yes,no,0.3191143572330475
yes,no,0.4770672917366028
no,yes,0.7474525570869446
no,no,0.003176402533426881
no,no,0.028204109519720078
no,no,0.008994350209832191
no,no,0.03987577557563782
no,no,0.0027276012115180492
no,no,0.22372065484523773
yes,no,0.23089247941970825
no,no,0.03384215757250786
no,no,0.15271064639091492
no,no,0.13991396129131317
yes,yes,0.6588840484619141
no,no,0.04930969700217247
no,no,0.015530876815319061
no,no,0.04594328626990318
no,no,0.0018343087285757065
no,no,0.053688228130340576
yes,yes,0.6072993874549866
no,no,0.04792250692844391
no,yes,0.625844419002533
no,no,0.02247058041393757
no,no,0.12154573202133179
no,yes,0.5189684629440308
no,no,0.09034763276576996
yes,yes,0.5691626071929932
yes,no,0.2653876543045044
no,no,0.1813250631093979
yes,yes,0.7998714447021484
no,no,0.14502261579036713
no,no,0.08453278243541718
no,no,0.08122038841247559
no,no,0.05058589577674866
yes,yes,0.5791472792625427
yes,yes,0.6993376016616821
yes,yes,0.7257930636405945
no,no,0.48024702072143555
no,no,0.041139550507068634
no,no,0.2870199978351593
yes,no,0.004112272057682276
no,no,0.0018337946385145187
yes,yes,0.577300488948822
no,yes,0.629216194152832
yes,yes,0.559650182723999
yes,yes,0.5797098875045776
yes,no,0.4768678545951843
no,no,0.20225322246551514
no,no,0.1645013988018036
no,no,0.32571032643318176
no,no,0.18544583022594452
yes,yes,0.5285348296165466
no,no,0.1522960364818573
no,no,0.4148451089859009
yes,yes,0.7308769226074219
yes,yes,0.552172064781189
yes,yes,0.6551029682159424
no,no,0.15125790238380432
no,yes,0.7163904309272766
no,no,0.06236705183982849
no,no,0.25030460953712463
no,no,0.05655897408723831
no,no,0.42098721861839294
no,no,0.15994855761528015
yes,yes,0.8421633243560791
no,yes,0.5523054599761963
no,no,0.035218313336372375
no,no,0.22763283550739288
no,no,0.0026539263781160116
yes,no,0.44902271032333374
no,no,0.05815540999174118
no,yes,0.6198354959487915
no,no,0.06733400374650955
no,yes,0.6354355216026306
no,no,0.002531190635636449
yes,yes,0.6272570490837097
yes,no,0.04965074732899666
no,no,0.08048484474420547
no,no,0.014736075885593891
no,yes,0.6070460677146912
yes,yes,0.7784455418586731
no,yes,0.5968807339668274
no,no,0.03912476822733879
yes,yes,0.6361541152000427
yes,yes,0.753781795501709
yes,no,0.32406800985336304
no,yes,0.5003716945648193
yes,yes,0.5096174478530884
no,no,0.20049357414245605
no,no,0.1328989416360855
no,no,0.015557612292468548
no,yes,0.8181860446929932
yes,yes,0.8288228511810303
no,yes,0.6058158278465271
no,no,0.029417848214507103
no,no,0.06569303572177887
yes,yes,0.7813568711280823
yes,yes,0.562430202960968
no,no,0.4386042356491089
no,no,0.05243955925107002
yes,no,0.2639923393726349
no,no,0.25762802362442017
no,no,0.06099332496523857
no,no,0.09324190765619278
no,no,0.0308613833039999
no,no,0.016232457011938095
no,no,0.2445143610239029
yes,yes,0.5908153653144836
no,no,0.264313280582428
no,no,0.1835320144891739
no,no,0.016971008852124214
no,no,0.0897146463394165
no,no,0.3528251349925995
no,no,0.1625189185142517
no,no,0.3802497088909149
yes,no,0.49337124824523926
no,no,0.016142606735229492
no,no,0.17595401406288147
no,no,0.1227286159992218
no,no,0.3143673837184906
no,yes,0.6588042378425598
no,no,0.04375768080353737
no,yes,0.6559287905693054
no,no,0.015276364050805569
no,no,0.3313973546028137
yes,no,0.3136032223701477
no,no,0.3303817808628082
no,no,0.015784960240125656
no,no,0.036203015595674515
no,no,0.01548733003437519
yes,no,0.37230730056762695
no,no,0.01316956989467144
no,no,0.14269410073757172
no,no,0.492266446352005
yes,yes,0.8073315024375916
no,no,0.0340462289750576
no,yes,0.6032361388206482
no,no,0.4730572998523712
no,no,0.010381268337368965
yes,yes,0.6056410074234009
yes,yes,0.7673630714416504
no,no,0.055597756057977676
no,no,0.43970999121665955
no,no,0.19692309200763702
no,no,0.026234138756990433
no,no,0.2879182994365692
no,yes,0.5118919014930725
no,no,0.016299931332468987
no,no,0.023940181359648705
no,no,0.27232125401496887
yes,no,0.17088988423347473
no,no,0.03453070670366287
no,no,0.2509995102882385
no,no,0.038500163704156876
no,no,0.03263861685991287
no,no,0.29566338658332825
no,no,0.23241302371025085
no,yes,0.5516894459724426
no,no,0.33325669169425964
no,no,0.055231522768735886
no,no,0.29893314838409424
yes,yes,0.6794950366020203
no,no,0.002669737208634615
no,yes,0.674058735370636
no,no,0.016855807974934578
no,no,0.008633074350655079
no,no,0.1314445585012436
no,no,0.16371889412403107
yes,yes,0.6157839894294739
no,yes,0.7200702428817749
no,no,0.23516875505447388
no,no,0.08716759830713272
no,yes,0.8187835216522217
yes,yes,0.8166576027870178
yes,yes,0.7650585174560547
no,no,0.014098851010203362
no,no,0.010521935299038887
yes,no,0.43250787258148193
yes,yes,0.60749351978302
no,no,0.08022848516702652
yes,yes,0.7991735339164734
no,no,0.3341618478298187
yes,yes,0.5369887948036194
no,no,0.11913355439901352
yes,yes,0.6540960073471069
no,no,0.020870862528681755
no,yes,0.7698540091514587
no,no,0.029367582872509956
yes,yes,0.7801930904388428
no,yes,0.7438977956771851
yes,yes,0.6884214282035828
no,no,0.09387362748384476
no,no,0.07188551872968674
no,no,0.003224258543923497
yes,no,0.4496546685695648
no,no,0.1485094577074051
no,no,0.032508015632629395
no,no,0.03187887743115425
no,no,0.08695840835571289
no,no,0.013602109625935555
yes,yes,0.6707583665847778
no,no,0.1761743724346161
yes,yes,0.6853731274604797
no,no,0.2725892961025238
no,no,0.22438283264636993
yes,no,0.35221731662750244
no,no,0.03579406440258026
no,yes,0.6297691464424133
no,no,0.34446537494659424
no,no,0.462226927280426
yes,no,0.47296079993247986
no,no,0.06475698202848434
no,no,0.08575842529535294
no,no,0.011692889034748077
no,no,0.08316480368375778
no,yes,0.7977752089500427
no,no,0.2650355398654938
yes,yes,0.8360484838485718
no,yes,0.6856324672698975
no,no,0.204545795917511
no,no,0.11844948679208755
no,no,0.11698289960622787
no,no,0.3311244249343872
no,no,0.2640523612499237
yes,yes,0.5008707642555237
yes,no,0.13957969844341278
no,no,0.14965127408504486
no,no,0.10916624963283539
no,no,0.20879071950912476
no,no,0.053171053528785706
no,no,0.06051189452409744
no,no,0.03664959594607353
no,no,0.0030228199902921915
yes,no,0.3117389976978302
no,no,0.3849433958530426
no,no,0.44436749815940857
no,no,0.2058636099100113
no,no,0.22172558307647705
no,no,0.22505934536457062
no,no,0.007550974376499653
no,no,0.005713998805731535
no,no,0.2031928300857544
no,no,0.0016765735344961286
no,no,0.04591454565525055
yes,no,0.11598586291074753
no,no,0.21087093651294708
no,no,0.43077021837234497
no,no,0.3640784025192261
no,no,0.2615099549293518
yes,no,0.044933710247278214
yes,yes,0.8153187036514282
no,no,0.2509390413761139
no,no,0.2702741324901581
yes,yes,0.8465201258659363
no,no,0.03096086159348488
no,no,0.03957471251487732
no,no,0.05134394019842148
no,no,0.018383465707302094
no,no,0.34755584597587585
no,no,0.28721821308135986
no,no,0.002373948460444808
no,no,0.14615508913993835
no,no,0.08857516199350357
no,no,0.12382785230875015
no,no,0.19137389957904816
no,no,0.011426927521824837
no,no,0.03788285702466965
no,no,0.012879421003162861
no,no,0.028680676594376564
yes,no,0.25375252962112427
no,no,0.42742905020713806
no,no,0.012074870988726616
no,no,0.23862788081169128
no,no,0.1492612063884735
no,no,0.2349606603384018
no,yes,0.6299106478691101
no,no,0.007934078574180603
yes,no,0.06456240266561508
no,no,0.4600917398929596
no,no,0.24704620242118835
no,no,0.07904306054115295
yes,no,0.34576448798179626
no,no,0.18656596541404724
no,no,0.013562818057835102
no,no,0.03593527525663376
yes,yes,0.5599831938743591
no,no,0.08024352788925171
no,no,0.005636702291667461
yes,no,0.3103097379207611
yes,yes,0.6249384880065918
no,no,0.16249653697013855
no,no,0.05976797267794609
yes,yes,0.7297819256782532
yes,no,0.42893654108047485
no,no,0.16758500039577484
yes,yes,0.7520626783370972
yes,yes,0.718032717704773
no,no,0.011858081445097923
no,no,0.03371034562587738
no,no,0.43891409039497375
no,no,0.019030459225177765
yes,no,0.46440166234970093
no,no,0.19723768532276154
no,no,0.1572115421295166
yes,no,0.3988126516342163
no,no,0.03244481235742569
no,no,0.00857582688331604
no,no,0.0013354262337088585
no,no,0.027042824774980545
no,no,0.07539990544319153
no,no,0.029297908768057823
no,yes,0.7766527533531189
no,no,0.2669558823108673
yes,yes,0.7831295132637024
no,no,0.2864820957183838
no,no,0.4350215792655945
no,yes,0.6801537275314331
yes,no,0.44718503952026367
no,no,0.2396821230649948
no,no,0.27395445108413696
no,no,0.09296989440917969
no,no,0.014260991476476192
yes,yes,0.7882253527641296
no,no,0.05838589370250702
no,no,0.30726200342178345
no,no,0.029958177357912064
no,no,0.25737878680229187
no,no,0.006779125891625881
no,no,0.036821119487285614
no,yes,0.630312979221344
no,no,0.28995367884635925
no,no,0.3025111258029938
yes,no,0.2939150929450989
no,no,0.004606195259839296
no,no,0.4378697872161865
no,no,0.4516609311103821
no,no,0.36383503675460815
no,no,0.277630090713501
no,no,0.0019606477580964565
no,no,0.26740196347236633
no,no,0.3337635099887848
no,no,0.42478376626968384
no,no,0.11269878596067429
no,no,0.0014871795428916812
yes,yes,0.7983096241950989
yes,yes,0.541521430015564
yes,yes,0.6101403832435608
no,no,0.17320466041564941
no,no,0.006580310873687267
yes,no,0.4348009526729584
no,no,0.013442665338516235
no,no,0.08412154763936996
no,no,0.013356310315430164
no,no,0.448611319065094
no,no,0.3493101894855499
no,no,0.008282937109470367
no,no,0.41784387826919556
no,no,0.033706583082675934
no,yes,0.6387473940849304
yes,yes,0.5533360242843628
no,no,0.0027282603550702333
no,no,0.2309446930885315
no,yes,0.6414024829864502
no,no,0.022104253992438316
no,no,0.22706599533557892
no,yes,0.7523066401481628
yes,yes,0.7140066027641296
no,no,0.0038718031719326973
no,no,0.2301705777645111
no,no,0.007938846945762634
no,no,0.3945356011390686
no,no,0.02480280213057995
yes,yes,0.7411438226699829
yes,no,0.3438474237918854
yes,no,0.29410234093666077
no,no,0.03798902779817581
no,yes,0.6465867161750793
yes,yes,0.8134375214576721
no,no,0.03972725197672844
no,no,0.014185023494064808
no,no,0.22502745687961578
yes,yes,0.5719388723373413
no,no,0.023897720500826836
yes,no,0.34396451711654663
no,no,0.005871360655874014
no,no,0.18556839227676392
no,no,0.23781806230545044
no,no,0.006359423045068979
no,no,0.01410097349435091
no,no,0.04047784581780434
no,no,0.010627874173223972
no,no,0.03545014187693596
no,no,0.2744799554347992
no,no,0.03151334822177887
yes,no,0.3306443691253662
no,no,0.045819491147994995
no,no,0.011864669620990753
no,no,0.045991066843271255
no,no,0.051425278186798096
no,no,0.16089153289794922
no,no,0.027489537373185158
yes,yes,0.7471964955329895
yes,no,0.017599977552890778
no,no,0.02246721461415291
no,no,0.1708993911743164
yes,yes,0.6836146712303162
yes,yes,0.5679768323898315
no,no,0.008583650924265385
no,no,0.32850298285484314
no,no,0.38474607467651367
no,no,0.2570699155330658
no,no,0.0019592433236539364
yes,yes,0.7229585647583008
no,no,0.02757703885436058
yes,no,0.0567595399916172
no,no,0.004996207542717457
no,no,0.0215928815305233
no,yes,0.6248475909233093
yes,yes,0.7997450828552246
no,no,0.37007999420166016
yes,no,0.3472389280796051
no,no,0.1371484100818634
no,no,0.007772956043481827
yes,no,0.020367920398712158
yes,yes,0.8233124613761902
no,no,0.012541122734546661
no,no,0.06532365828752518
no,no,0.014674157835543156
no,no,0.014779838733375072
no,no,0.03634219244122505
no,no,0.010603319853544235
no,no,0.21254310011863708
no,no,0.3030254542827606
yes,no,0.4248935580253601
no,no,0.007045130245387554
yes,yes,0.5543416738510132
no,no,0.041339002549648285
no,no,0.022734543308615685
no,no,0.012160812504589558
no,no,0.02364909090101719
yes,yes,0.5738211274147034
yes,yes,0.6654632687568665
yes,no,0.4446527063846588
no,no,0.02007346786558628
no,no,0.08780992031097412
no,no,0.04421800374984741
no,no,0.02987389825284481
yes,no,0.23658549785614014
no,no,0.046370021998882294
no,no,0.030277056619524956
no,no,0.1680007129907608
yes,no,0.3648049533367157
no,no,0.03105812519788742
no,no,0.09373736381530762
no,no,0.022676357999444008
no,no,0.27391716837882996
no,yes,0.6730906963348389
yes,no,0.4247155487537384
no,no,0.25484418869018555
yes,yes,0.7472975850105286
no,no,0.04367569461464882
no,no,0.3148745596408844
no,no,0.027178319171071053
no,no,0.08490408211946487
yes,no,0.3503541350364685
no,no,0.11353324353694916
no,no,0.2540581226348877
yes,yes,0.7230616211891174
yes,no,0.39448097348213196
no,no,0.09378831833600998
no,no,0.016955828294157982
yes,yes,0.7237759232521057
no,yes,0.6404154896736145
no,no,0.08641120046377182
no,no,0.051296573132276535
no,no,0.0637422651052475
no,yes,0.7369277477264404
no,no,0.016795793548226357
no,no,0.0027872223872691393
yes,yes,0.8078853487968445
no,no,0.02011978067457676
no,yes,0.6386483907699585
no,no,0.06715976446866989
no,yes,0.6348342299461365
no,no,0.04920769855380058
no,no,0.4113321006298065
no,no,0.13984382152557373
yes,yes,0.5631247162818909
no,no,0.0354556143283844
no,no,0.4822131097316742
no,no,0.001992303878068924
yes,yes,0.8136022090911865
no,no,0.08706986904144287
yes,yes,0.5771231055259705
no,no,0.04501764476299286
no,no,0.01467942725867033
no,no,0.3126658797264099
no,no,0.440717875957489
no,no,0.016878580674529076
no,no,0.30980750918388367
yes,yes,0.7948206067085266
no,no,0.1808219999074936
no,yes,0.5902045369148254
yes,yes,0.5511438846588135
no,no,0.010620106011629105
no,no,0.1289277821779251
no,yes,0.731008768081665
yes,yes,0.5205062031745911
no,no,0.0020858522038906813
no,no,0.24267598986625671
no,no,0.09320347756147385
no,yes,0.5441390872001648
no,no,0.31029900908470154
no,no,0.013206555508077145
no,no,0.16254922747612
yes,yes,0.8539435863494873
no,no,0.24253083765506744
yes,no,0.3447412848472595
no,no,0.015390417538583279
yes,no,0.04364977777004242
yes,no,0.40710607171058655
no,no,0.07565216720104218
no,no,0.04976130649447441
no,no,0.011246183887124062
no,no,0.11446890234947205
yes,yes,0.8290085196495056
no,no,0.002104001585394144
yes,yes,0.5833638310432434
no,no,0.22763147950172424
no,no,0.25413861870765686
no,no,0.03611840680241585
no,no,0.014138090424239635
no,no,0.0016460535116493702
no,no,0.0024547053035348654
yes,no,0.25537341833114624
no,no,0.00353014818392694
yes,yes,0.6562684774398804
no,yes,0.6373934745788574
no,no,0.014067886397242546
no,no,0.0497920885682106
no,no,0.2986540198326111
yes,yes,0.5043250918388367
yes,yes,0.751388669013977
no,no,0.103730708360672
no,no,0.0137587059289217
no,no,0.42378342151641846
no,yes,0.6567900776863098
yes,no,0.3675057291984558
yes,no,0.09126893430948257
no,no,0.008094768039882183
no,no,0.009706033393740654
no,no,0.4961404502391815
no,no,0.05187872424721718
no,no,0.12593741714954376
no,no,0.03575633838772774
no,yes,0.733577311038971
no,no,0.03255755081772804
yes,yes,0.7278227210044861
no,no,0.22104088962078094
yes,yes,0.6643157005310059
no,no,0.26829588413238525
no,no,0.0028155578766018152
no,no,0.03734522685408592
no,yes,0.6026097536087036
yes,no,0.21853123605251312
yes,yes,0.6929275393486023
no,no,0.01911698654294014
no,yes,0.5819035172462463
yes,no,0.2024962455034256
no,no,0.06402482837438583
no,yes,0.6294476389884949
no,no,0.02934178151190281
no,no,0.22215108573436737
no,no,0.026909999549388885
yes,no,0.26398909091949463
yes,no,0.416464626789093
no,no,0.22815446555614471
yes,no,0.4938511550426483
no,no,0.040576376020908356
yes,yes,0.6298670172691345
yes,yes,0.7962714433670044
no,no,0.01864374801516533
no,no,0.15721653401851654
no,no,0.1297767460346222
no,no,0.0448797270655632
yes,yes,0.5930319428443909
no,no,0.014051929116249084
no,no,0.19045671820640564
yes,yes,0.5041333436965942
no,no,0.06691231578588486
yes,yes,0.6828626394271851
no,no,0.09111020714044571
yes,yes,0.7157082557678223
no,no,0.14212293922901154
no,no,0.003914048429578543
no,no,0.05044780671596527
no,no,0.018474703654646873
yes,yes,0.7136118412017822
no,no,0.0039439997635781765
yes,yes,0.5600112080574036
yes,yes,0.6699385046958923
no,no,0.13263696432113647
yes,yes,0.7220006585121155
no,no,0.004301748238503933
no,no,0.030691785737872124
no,no,0.1487894356250763
no,yes,0.8200729489326477
no,no,0.21930517256259918
yes,yes,0.5453723073005676
no,no,0.06150195002555847
no,no,0.08227745443582535
no,no,0.056741874665021896
no,no,0.27715250849723816
no,no,0.050183385610580444
no,yes,0.6192272901535034
no,no,0.04547461122274399
no,no,0.0027934943791478872
no,no,0.001623388146981597
no,no,0.11941090226173401
yes,no,0.4355449676513672
no,no,0.02173302136361599
no,yes,0.5781570672988892
no,no,0.07439766079187393
no,yes,0.5550407767295837
no,no,0.02080291137099266
yes,no,0.2000618875026703
no,no,0.1752731204032898
yes,yes,0.5805720686912537
yes,no,0.26755058765411377
no,no,0.08882047235965729
no,no,0.10449039936065674
no,yes,0.5002098083496094
no,no,0.003671617479994893
yes,yes,0.658838152885437
no,no,0.16490310430526733
no,no,0.4097868800163269
no,no,0.001364510040730238
no,no,0.2264660745859146
no,no,0.0562533400952816
no,no,0.0698864758014679
no,no,0.19269327819347382
yes,yes,0.7533609867095947
no,no,0.255923330783844
no,yes,0.7566322684288025
yes,yes,0.852035641670227
yes,yes,0.5688177347183228
no,no,0.30398231744766235
no,no,0.17734095454216003
no,no,0.05358576029539108
no,no,0.009360377676784992
no,no,0.003858080366626382
no,no,0.39624980092048645
no,no,0.11143074184656143
yes,yes,0.7951010465621948
no,yes,0.5659969449043274
yes,no,0.44968435168266296
no,no,0.02082441747188568
no,no,0.011851204559206963
no,no,0.41236117482185364
no,no,0.08528759330511093
no,no,0.11871638149023056
no,no,0.05460689589381218
yes,no,0.2589031159877777
no,yes,0.7132964134216309
yes,no,0.35729050636291504
no,no,0.3328273296356201
no,no,0.06760407984256744
no,yes,0.5057129859924316
no,no,0.022018270567059517
no,no,0.40548017621040344
no,no,0.01907327026128769
no,no,0.24629423022270203
no,yes,0.720680832862854
no,no,0.27929234504699707
no,no,0.031921692192554474
yes,yes,0.7036402821540833
no,no,0.054883915930986404
no,no,0.29784348607063293
no,no,0.36153069138526917
no,no,0.01649690605700016
no,no,0.030618268996477127
no,no,0.015503370203077793
no,no,0.4395802319049835
no,no,0.34678658843040466
yes,no,0.18308748304843903
no,no,0.0031891525723040104
no,yes,0.7646214962005615
no,no,0.0922786220908165
yes,yes,0.5513104200363159
no,no,0.43876713514328003
yes,yes,0.6290760040283203
yes,yes,0.7728280425071716
no,no,0.005721014458686113
yes,yes,0.6067863702774048
no,no,0.1819813996553421
no,no,0.1700333207845688
yes,no,0.4258030652999878
no,no,0.0027284848038107157
no,no,0.005385624710470438
no,yes,0.511204183101654
no,no,0.15969966351985931
yes,no,0.33846214413642883
no,no,0.0021133471745997667
no,no,0.16188445687294006
yes,yes,0.7932541370391846
no,no,0.056072741746902466
no,no,0.28794705867767334
yes,no,0.49991869926452637
yes,no,0.043629925698041916
no,yes,0.6556265354156494
no,yes,0.621915340423584
no,no,0.27496108412742615
yes,yes,0.669025719165802
yes,no,0.34740567207336426
no,no,0.03943948447704315
yes,yes,0.7839698195457458
no,no,0.3291513919830322
yes,yes,0.6154492497444153
no,no,0.04821768403053284
yes,yes,0.6309695243835449
no,no,0.0190633125603199
no,no,0.2852300703525543
no,no,0.42167675495147705
yes,no,0.3167821764945984
no,no,0.02532915584743023
no,no,0.10180289298295975
no,yes,0.7532002925872803
no,no,0.022963445633649826
yes,no,0.15459400415420532
no,no,0.024246541783213615
no,no,0.001277704956009984
no,no,0.07332578301429749
no,no,0.27555763721466064
no,no,0.03789670392870903
no,no,0.002910662442445755
no,no,0.0016513002337887883
no,no,0.11633502691984177
no,no,0.04588857665657997
no,no,0.0029636232648044825
no,no,0.46854257583618164
no,yes,0.6316677331924438
no,no,0.003990689758211374
no,no,0.01840069890022278
yes,no,0.3284490704536438
no,no,0.020566126331686974
no,no,0.0676288977265358
no,no,0.016239838674664497
no,yes,0.6263180375099182
no,no,0.4207410514354706
yes,no,0.4177151918411255
no,no,0.04134276136755943
no,no,0.004498249385505915
no,no,0.06383427232503891
no,no,0.4087198078632355
yes,no,0.0590718537569046
no,no,0.05632419139146805
yes,yes,0.7245849370956421
yes,yes,0.665091872215271
no,no,0.06303901970386505
yes,no,0.4505206048488617
yes,no,0.36635494232177734
no,no,0.004205657169222832
no,no,0.08973606675863266
no,no,0.24645350873470306
yes,no,0.19302505254745483
no,no,0.118534155189991
no,no,0.0033465500455349684
no,no,0.22252778708934784
no,no,0.04228099063038826
no,no,0.003232825780287385
no,no,0.017913812771439552
yes,yes,0.7579140067100525
yes,no,0.37630268931388855
no,no,0.4670010805130005
no,no,0.015466965734958649
yes,no,0.2503136098384857
yes,no,0.336883008480072
no,no,0.01235906407237053
no,no,0.06530576944351196
no,no,0.21999911963939667
no,no,0.010812296532094479
yes,yes,0.5869300961494446
no,no,0.4263678193092346
no,no,0.009738421998918056
no,no,0.11359104514122009
no,no,0.020278403535485268
no,no,0.019966473802924156
yes,yes,0.651654839515686
no,no,0.3958071172237396
no,no,0.383224219083786
no,no,0.19625252485275269
yes,yes,0.744645893573761
yes,yes,0.7405015826225281
yes,yes,0.6909224987030029
no,no,0.013611722737550735
yes,no,0.1468113511800766
yes,yes,0.6659914255142212
no,no,0.4789750576019287
no,no,0.16374674439430237
yes,yes,0.8203561305999756
no,no,0.394072026014328
no,no,0.17890413105487823
no,no,0.011075126938521862
yes,no,0.21078573167324066
no,no,0.014547194354236126
no,no,0.19046255946159363
no,no,0.011680996976792812
no,no,0.09672212600708008
no,yes,0.5244022607803345
no,no,0.02319074049592018
yes,yes,0.7157309055328369
no,no,0.06605280190706253
no,no,0.016015976667404175
no,no,0.0023474120534956455
no,no,0.2596168518066406
yes,yes,0.5541669726371765
no,no,0.010079690255224705
no,yes,0.5244543552398682
no,no,0.01623278483748436
no,no,0.2635672390460968
yes,no,0.2339215874671936
no,yes,0.7756851315498352
no,no,0.16257819533348083
yes,yes,0.8289568424224854
yes,no,0.4617514908313751
no,no,0.3814197778701782
no,no,0.011657724156975746
yes,yes,0.8202352523803711
no,no,0.11859924346208572
no,yes,0.5582662224769592
yes,yes,0.8522593379020691
no,yes,0.6098157167434692
yes,yes,0.6504193544387817
no,no,0.3819422125816345
no,no,0.05958693102002144
no,no,0.03175201267004013
no,no,0.40982499718666077
no,no,0.003570632776245475
yes,yes,0.6145389676094055
yes,yes,0.7211177349090576
no,no,0.0284739900380373
no,no,0.2590489089488983
no,no,0.009488065727055073
no,no,0.00921609066426754
no,no,0.1611054390668869
no,no,0.13049879670143127
yes,yes,0.5085816979408264
yes,yes,0.8263670206069946
no,no,0.11345010995864868
yes,yes,0.618341326713562
no,no,0.013842040672898293
no,no,0.1389126032590866
no,no,0.27884259819984436
no,no,0.4873356521129608
yes,yes,0.5538519620895386
no,no,0.0851651132106781
no,no,0.06142927706241608
no,no,0.2050284594297409
no,no,0.19263075292110443
no,no,0.4206397533416748
no,no,0.03927961364388466
no,no,0.06037963926792145
yes,yes,0.7310613989830017
no,no,0.30429962277412415
yes,no,0.3294987678527832
no,no,0.0735313892364502
yes,yes,0.6598620414733887
no,no,0.26547396183013916
no,no,0.04205356910824776
yes,yes,0.7142522931098938
no,no,0.09724465012550354
no,yes,0.7364954948425293
no,no,0.2376147359609604
no,no,0.17962905764579773
no,no,0.05574068799614906
no,no,0.06715638935565948
no,no,0.4759925901889801
yes,no,0.1824224293231964
yes,yes,0.703029215335846
no,no,0.4475545585155487
yes,yes,0.5403512716293335
no,no,0.2924697995185852
no,no,0.0694175511598587
no,no,0.022701717913150787
no,yes,0.6726862788200378
no,no,0.018154947087168694
no,no,0.12432639300823212
yes,yes,0.7314571142196655
yes,yes,0.5774064064025879
no,no,0.3203040063381195
no,no,0.06418721377849579
no,no,0.1913105845451355
no,no,0.2640523612499237
